С,Часы звонков,1 курс,,1 курс,,,,1 курс,,1 курс,,,,1 курс,,,,,,1 курс,,,,1 курс,,,1 курс,,,,2 курс,,,,2 курс,,,,2 курс,,,,,,2 курс,,,,2 курс,,,,,2 курс,,,,3 курс,,,,,,,,3 курс,,,,,,3 курс,,,,,,3 курс,,,3 курс,,,3 курс,,3 курс,,,,4 курс,,,,,,,,,,,,,,4 курс,,,,,,4 курс,,,,,,,,,,4 курс,,,,5 курс,,6 курс
,,1 группа,,2 группа,,3 группа,,4 группа,,5 группа,,6 группа,,7 группа,,8 группа,,9 группа,,10 группа,,11 группа ,,12 группа ,,13 группа,14 группа ,,15 группа,,1 группа,,2 группа,,3 группа,,4 группа,,5 группа,,6 группа,,7 группа,,8 группа,,9 группа,,10 группа,,11 группа,,12 группа,13 группа,,14 группа,,1 группа ,,2 группа ,,3 группа,,4 группа,,5 группа,,6 группа,,7 группа,,8 группа,,9 группа,,10 группа,,11 группа,,12 группа,13 группа,,,14 группа,,15 группа ,,16 группа ,,1 группа,,2 группа,,3 группа,,4 группа,,5 группа,,6 группа,,7 группа,,8 группа,,9 группа,,10 группа,,11 группа,,12 группа,,13 группа,ПММ,,14 группа,,15 группа,16 группа ,,17 группа ,,1 группа,ПММ,1 группа
,,"Направление ""Информационные системы и технологии""",,,,,,,,"Направление ""Программная инженерия""",,,,,,,,"Направление ""Информационная безопасность""",,,,"Специальность ""Компьютерная безопасность""",,"Направление ""Прикладная информатика""",,,"Направление ""Математика и компьютерные науки""",,,,"Направление ""Информационные системы и технологии"" ",,,,,,,,"Направление ""Программная инженерия""",,,,,,"Направление ""Информационная безопасность""",,,,"Специальность ""Компьютерная безопасность""",,"Направление ""Прикладная информатика""",,,"Направление ""Математика и компьютерные науки""",,,,"Направление ""Информационные системы и технологии"" ",,,,,,,,,,,,,,"Направление ""Программная инженерия""",,,,,,"Направление ""ИБ""",,,"Специальность ""Компьютерная безопасность""",,,"Направление ""Прикладная информатика в экономике""",,"Направление ""Математика и компьютерные науки""",,,,"Направление ""Информационные системы и технологии"" ",,,,,,,,,,,,,,"Направление ""Программная инженерия""",,,,,,"Направление ""ИБ""",,,,"Специальность ""Компьютерная безопасность""",,,"Направление ""Прикладная информатика"" ",,,"Направление ""Математика и компьютерные науки""",,,,"Специальность ""Компьютерная безопасность""",,"Специальность ""Компьютерная безопасность"""
,,"проыиль ""Инженерия информационных систем и технологий""",,,,,,,,"профиль ""Информационные системы и сетевые технологии"" ",,,,,,,," профиль ""Безопасность компьютерных систем"" ",,,,"специализация ""РЗПО""","специализация ""АБКС"" (военные)","профиль ""Прикладная информатика в экономике""",,,,,,,,,,,,,,,"профиль ""Информационные системы и сетевые технологии"" ",,,,,," профиль ""Безопасность компьютерных систем"" ",,,,"специализация ""РЗПО""",,"профиль ""Прикладная информатика в экономике""",,,"профиль ""Распределенные системы и искусственный интеллект""",,"профиль ""Квантовая теория информации""",,ИСиСТ,,ИСТК,,ВВМиИВ,,ОИМО,,ИСиТУП,,ПИвИС ,,ИТвЦД,,"профиль ""Информационные системы и сетевые технологии"" ",,,,,," профиль ""Безопасность компьютерных систем"" ",,,"специализация ""АБКС""","специализация ""БКСиС"" (гражданские) (29)",,"профиль ""Прикладная информатика в экономике"" ",,"профиль ""Распределенные системы и искусственный интеллект""",,"профиль ""Квантовая теория информации""",,ИСиСТ,,ИСТК,,ВВМиИВ,,ОИМО,,ИСиТУП,,ПИвИС,,ИТвЦД,,"профиль ""Информационные системы и сетевые технологии""",,,,,," профиль ""Безопасность компьютерных систем""",,,,"специализация ""АБКС""","специализация ""ММЗИ""","специализация ""БКСиС"" (гражданские)","профиль ""Прикладная информатика в экономике""",,,"профиль ""Распределенные системы и искусственный интеллект""",,"профиль ""Квантовая теория информации""",,"специализация ""АБКС""","специализация ""ММЗИ""","специализация ""АБКС"""
Понедельник,8:00 - 9:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Теория вероятностей ст.преп. Некипелов Е.А. 307П,,ООП асс. Борисов А.Д.  314П,,Компьютерная геометрия и графика  преп. Косенко И.М. 316П,Компьютерная геометрия и графика  преп. Косенко И.М. 316П,УД асс. Фролова В.В. 385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Насонов, ауд. 21",,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Сидоренко, ауд. 22",,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Кречун, ауд. 44",,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Сапронов, ауд. 31",,,,,,Военная подготовка,,Основы военной подготовки доц. Скоробогатова Л.Г. (ДО),,,,,,,,,,Моделирование систем ст.преп. Швырева А.В. 382,,,Администрирование ИС доц. Маковий К.А. 381,,,,,,,,,,,,,,,Компьютерные сети проф. Абрамов Г.В. 227,,,Основы эконометрического моделирования доц. Алейникова Н.А. 505П,,,Методы оптимизации доц. Атанов А.В. 477,,,,ВУЦ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ООП асс. Борисов А.Д.  314П,УД асс. Фролова В.В. 290,УД асс. Фролова В.В. 290,,,Компьютерная геометрия и графика  преп. Косенко И.М. 316П,Компьютерная геометрия и графика  преп. Косенко И.М. 316П,,,Компьютерная геометрия и графика ст.преп. Нужных А.В. 297,,,,,,,,,,,,,,,,,,,,,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Кречун, ауд. 44",,,,,,,,Основы военной подготовки доц. Скоробогатова Л.Г. (ДО),,,,,,,,,,,,,,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б, Насонов, ауд. 21",,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б, Резанович, ауд. 22",,,,,,,,,Администрирование ИС доц. Маковий К.А. 301П,Технологии искусственного интеллекта  доц. Илларионов И.В. 295,Технологии искусственного интеллекта  доц. Илларионов И.В. 295,,,,,Ин.яз. доц. Стрельникова М.А. 308П,,,,,,,,,,,,,,,,,,,,,,
,9:45 - 11:20,,,,,,,,,,,,,,,История России доц. Лавлинский С.А. (ДО),,,,,,,,История России преп. Киселёва М.В. (ДО),,,,,,,Компьютерная геометрия и графика преп. Косенко И.М. 477,,,,,,,,Дифференциальные уравнения доц. Атанов А.В. 305П,,Математический анализ доц. Михин Е.А. 292,,,,Управление данными ст.преп. Черницын Д.В. 316П,Управление данными ст.преп. Черницын Д.В. 316П,,,,,,,Управление данными асс. Фролова В.В. 293,,,,,,,,,,,,,,,,,,,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Насонов, ауд. 21",,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Сидоренко, ауд. 22",,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Кречун, ауд. 44",,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Сапронов, ауд. 31",,,Методы оптимизации доц. Белоусова Е.П. 318,,,,,Основы военной подготовки доц. Скоробогатова Л.Г. (ДО),,,,,,,,Технологии искусственного интеллекта  доц. Илларионов И.В. 290,Технологии искусственного интеллекта  доц. Илларионов И.В. 290,Администрирование ИС доц. Маковий К.А. 381,Моделирование систем ст.преп. Швырева А.В. 382,,,Управление проектами ст.преп. Коротков В.В. 291,,ТОИ ст.преп. Акимов А.В. 295,ТОИ ст.преп. Акимов А.В. 295,,Ин.яз. доц. Стрельникова М.А. 301П,,Ин.яз. преп. Гафарова М.Х. 308П,,,Ин.яз. доц. Вострикова И.Ю. 303П,,,Ин.яз. доц. Барабушка И.А. 309П,,Компьютерные сети проф. Абрамов Г.В. 10,Компьютерные сети проф. Абрамов Г.В. 10,Основы эконометрического моделирования доц. Алейникова Н.А. 385,,,,,Операционные системы асс. Точилин А.С. 314П,,,,
,,,,,,,,,,Деловое общение и культура речи доц. Козельская Н.А. (ДО),,,,,,,,Деловое общение и культура речи доц. Козельская Н.А. (ДО),,,,,,,,История России преп. Киселёва М.В. (ДО),,,Экономика и финансовая грамотность доц. Вандышева О.П. (ДО),,,,,,,,,,Математический анализ доц. Михин Е.А. 292,,Компьютерная геометрия и графика ст.преп. Нужных А.В. 381,,Дифференциальные уравнения доц. Атанов А.В. 305П,,,,,,,,,,,,,,Ин.яз. преп. Гавриш О.А. 308П,,,,,,,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Кречун, ауд. 44",,,,,,,,Основы военной подготовки доц. Скоробогатова Л.Г. (ДО),,,,,,,,,,,,,,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б, Насонов, ауд. 21",,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б, Резанович, ауд. 22",,Администрирование ИС доц. Маковий К.А. 385,Администрирование ИС доц. Маковий К.А. 385,,,,,,,Технологии искусственного интеллекта  доц. Илларионов И.В. 383,,,,ТОИ ст.преп. Акимов А.В. 291,,Управление проектами ст.преп. Коротков В.В.  295,Управление проектами ст.преп. Коротков В.В.  295,,Ин.яз. преп. Гафарова М.Х. 301П,,,,,Ин.яз. доц. Барабушка И.А. 309П,,,,,Основы эконометрического моделирования доц. Алейникова Н.А. 290,Основы эконометрического моделирования доц. Алейникова Н.А. 290,Моделирование бизнес-процессов доц. Громковский А.А. 303П,Математическое моделирование доц. Сирота Е.А. 505П,,,,,,
,11:30-13:05,"Экономика и финансовая грамотность (id=17661) 
доц. Павлова Е.А. (ДО) ",,,,Деловое общение и культура речи преп. Пархоц Э.О. (ДО),,Основы российской государственности (id=27363) преп. Шаповалов И.С. (ДО) ,,История России доц. Лавлинский С.А. (ДО),,,,,,,,,,,,История России преп. Киселёва М.В. (ДО),,,,Русский язык доц. Козельская Н.А. (ДО),,,Экономика и финансовая грамотность доц. Вандышева О.П. (ДО),,,,Компьютерная геометрия и графика доц. Вахтин А.А. 316П,Компьютерная геометрия и графика доц. Вахтин А.А. 316П,Теория вероятностей ст.преп. Некипелов Е.А. 307П,,УД асс. Фролова В.В. 387,Компьютерная геометрия и графика асс. Пауков Н.В. 293,Математический анализ доц. Михин Е.А. 477 ,,,,,,Дискретная математика проф. Кургалин С.Д. 505П,,,,Электричество и магнетизм доц. Григорян Г.С. 141,,Компьютерная геометрия и графика преп. Косенко И.М.  292,,,,,КГ и ГМ доц. Хлебостроев В.Г. 384,Основы Python проф. Дылевский А.В. 381,Основы военной подготовки доц. Скоробогатова Л.Г. (ДО),,,,,,,,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Насонов, ауд. 21",,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Сидоренко, ауд. 22",,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Кречун, ауд. 44",,Военная подготовка,,,,,,,,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Сапронов, ауд. 31",Операционные системы асс. Точилин А.С. 295,Операционные системы асс. Точилин А.С. 295,Операционные системы асс. Точилин А.С. 295,,,Военная подготовка,,,,ТОИ ст.преп. Акимов А.В. 314П,ТОИ ст.преп. Акимов А.В. 314П,Моделирование систем ст.преп. Швырева А.В. 383,Моделирование систем ст.преп. Швырева А.В. 383,Управление проектами ст.преп. Коротков В.В. 382,,Технологии обработки информации проф. Сирота А.А. 479,,,,,,,,ТПО ст.преп. Кузнецова И.Ю. 290,ТПО ст.преп. Кузнецова И.Ю. 290,Ин.яз. преп. Гафарова М.Х. 303П,,Администрирование ИС асс. Петров Ю.В. 385,,,Ин.яз. доц. Вострикова И.Ю. 309П,Ин.яз. доц. Барабушка И.А. 308П,,Компьютерные сети проф. Абрамов Г.В. 10,,,,,Основы эконометрического моделирования доц. Алейникова Н.А. 301П,Методы оптимизации доц. Атанов А.В. 305П,,Математическое моделирование доц. Попов М.И. 291,,,,
,,,,,,История России доц. Лавлинский С.А. (ДО),,,,,,,,,,,,История России преп. Киселёва М.В. (ДО),,,,,,Русский язык доц. Козельская Н.А. (ДО),,,Экономика и финансовая грамотность (id=20106) доц. Вандышева О.П. (ДО) ,,,,Теория функций комплексного переменного доц. Попов М.И. 505П,,Основы Python доц. Михайлюк Е.А. 295,Основы Python доц. Михайлюк Е.А. 295,,,Компьютерная геометрия и графика  асс. Пауков Н.В. 293,УД асс. Фролова В.В. 387,,,,,,,,ДМ ст.преп. Толкачев А.В. 382,,,,Электричество и магнетизм доц. Григорян Г.С. 141,,,,КГ и ГМ доц. Хлебостроев В.Г. 381,Основы Python проф. Дылевский А.В. 301П,Ин.яз. преп. Гавриш О.А. 303П,,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Насонов, ауд. 21",,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Сидоренко, ауд. 22",,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Кречун, ауд. 44",,,,Основы военной подготовки доц. Скоробогатова Л.Г. (ДО),,,,,,,,,,,,,,,Методы оптимизации доц. Белоусова Е.П. 504П,,,,,,,,,Управление проектами ст.преп. Коротков В.В. 316П,,,,,,,,,,,,,,Администрирование ИС асс. Петров Ю.В. 385,,Ин.яз. преп. Гафарова М.Х. 308П,,Технологии искусственного интеллекта доц. Илларионов И.В. 291,,,,,Ин.яз. доц. Барабушка И.А. 309П,,,,Моделирование бизнес-процессов доц. Громковский А.А. 314П,,Основы эконометрического моделирования доц. Алейникова Н.А. 384,,,Алгоритмы коррекции ошибок проф. Клинских А.Ф.  290,Алгоритмы коррекции ошибок проф. Клинских А.Ф.  290,,,
,13:25-15:00,Теоретические основы информатики (id=2628) доц. Сычев А.В. (ДО) ,,,,,,,,Информатика (id=2628) доц. Сычев А.В. (ДО) ,,,,,,,,Информатика (id=2628) доц. Сычев А.В. (ДО),,,,Информатика (id=2628) доц. Сычев А.В. (ДО),,Основы российской государственности преп. Шаповалов И.С. (ДО),,Экономика и финансовая грамотность доц. Павлова Е.А. (ДО),Экономика и финансовая грамотность доц. Вандышева О.П. (ДО),,История России доц. Лавлинский С.А. (ДО),,Физическая культура и спорт,,Физическая культура и спорт,,Физическая культура и спорт,,Теория вероятностей ст.преп. Некипелов Е.А. 305П,,Компьютерная геометрия и графика преп. Косенко И.М. 477,,,,,,,ПЗ в ИБ асс. Хакимов Л.Н. 301П,Электричество и магнетизм доц. Григорян Г.С. 141,ДМ ст.преп. Толкачев А.В. 303П,Дискретная математика доц. Попов М.И. 307П,,,Компьютерная геометрия и графика асс. Пауков Н.В. 297,СиАКОД ст.преп. Коротков В.В. 382,Ин.яз. преп. Семенов В.П. 309П,Параллельное программирование ст.преп. Романов А.В. 383,Основы Python проф. Дылевский А.В. 381,КГ и ГМ доц. Хлебостроев В.Г. 384,Основы военной подготовки доц. Скоробогатова Л.Г. (ДО),,,,,,,,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Насонов, ауд. 21",,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Сидоренко, ауд. 22",,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Кречун, ауд. 44",,,,,,,,Военная подготовка,,,Физическая культура и спорт,,,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Сапронов, ауд. 31",,,,,,Термодинамика доц. Крыловецкая Т.А. 479,,ТОИ ст.преп. Акимов А.В. 293,ТОИ ст.преп. Акимов А.В. 293,Технологии искусственного интеллекта  доц. Илларионов И.В. 385,,,,Термодинамика доц. Крыловецкая Т.А. 479,,Термодинамика доц. Крыловецкая Т.А. 479,,,Моделирование систем ст.преп. Швырева А.В. 314П,КПО ст.преп. Шилов С.Н.  295,КПО ст.преп. Шилов С.Н.  295,Администрирование ИС асс. Петров Ю.В.  316П,Администрирование ИС асс. Петров Ю.В.  316П,ТПО ст.преп. Кузнецова И.Ю. 290,ТПО ст.преп. Кузнецова И.Ю. 290,Безопасность систем баз данных проф. Храмов В.Ю. 292,,,,Термодинамика доц. Крыловецкая Т.А. 479,,,,,,Лингвистические основы информатики  доц. Вахтин А.А. 505П,,,Операционные системы асс. Точилин А.С. 291,,,
